"SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species"
4.7,3.2,1.3,0.2,"Iris-setosa"
4.6,3.4,1.4,0.3,"Iris-setosa"
5,3.4,1.5,0.2,"Iris-setosa"
5.1,3.5,1.4,0.2,"Iris-setosa"
5,3.6,1.4,0.2,"Iris-setosa"
5.5,2.6,4.4,1.2,"Iris-versicolor"
6.1,3,4.6,1.4,"Iris-versicolor"
5.8,2.6,4,1.2,"Iris-versicolor"
5,2.3,3.3,1,"Iris-versicolor"
6.1,3,4.9,1.8,"Iris-virginica"
6.4,2.8,5.6,2.1,"Iris-virginica"
7.2,3,5.8,1.6,"Iris-virginica"
6.3,2.5,4.9,1.5,"Iris-versicolor"
6.1,2.8,4.7,1.2,"Iris-versicolor"
6.4,2.9,4.3,1.3,"Iris-versicolor"
